Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
yoke,0.00417664514579752,-0.0345926307738655,1.90883395946716,0,0,0,0.100857780478233,0.0193997071410896,-1.386395613245E-06,-7.2836230945982E-05,0.00419135348918456,-0.00050336832901916,0.0197331689607486,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/yoke.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/yoke.STL,,clash_test_yokes-1,yokeCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
dummy1,0.164108196196253,1.18322554896429,0.397075050265967,0,0,0,0.325160100660068,0.444477114199377,0.149002486341857,-0.192177926459083,0.586714874904884,0.0745014312998623,0.732704931911872,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy1.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy1.STL,,frame2-1,pistonT101CS,pistonT101_z,dummy1_rev,continuous,-0.270420574498966,0.55,2.18057876976818,0,-1.10714871774307,-3.14159265358978,yoke,0,0,-1,0,0,-3.14,3.14,,,,,,,,
dummy6,0.164108196196252,1.18322554896429,0.397075050265967,0,0,0,0.325160100660068,0.444477114199377,0.149002486341857,-0.192177926459083,0.586714874904884,0.0745014312998624,0.732704931911871,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy6.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy6.STL,,frame2-1,pistonT101CS,pistonT101_z,dummy6_rev,continuous,0,0,0,0,0,0,dummy1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
pistonT101,0.422524127096701,5.67323610312087E-08,-1.08910764851089E-08,0,0,0,0.0207470803961392,0.00012986884264524,2.82945234121532E-10,-5.68707169573164E-11,0.00160899467779264,-6.9488421569623E-12,0.00159853005885189,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/pistonT101.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/pistonT101.STL,,Zylinder_piston-1,pistonT101CS,pistonT101_z,pistonDummyT101,continuous,0,0,0,0,0,0,dummy6,0,0,-1,0,0,-3.14,3.14,,,,,,,,
cylinderT101,0.644466334055455,0.000266411515881915,1.72696377811477E-05,0,0,0,0.0280448341425693,0.000481993236507492,-2.92812318817301E-07,-1.88214736281199E-07,0.00198376587089049,4.5892024658982E-08,0.00197270438651911,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/cylinderT101.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/cylinderT101.STL,,Zylinder_body-1,pistonT101CS,prismaticT101,cylinderPistonT101,prismatic,0,0,0,0,0,0,pistonT101,1,0,0,0,0,0,0.33,,,,,,,,
dummy11,-0.885891803803761,1.1832255489643,0.397075050265953,0,0,0,0.325160100660068,0.444477114199378,0.149002486341855,-0.192177926459087,0.586714874904888,0.0745014312998627,0.732704931911868,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy11.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy11.STL,,frame2-1,tabT101CS,tabT101_z,dummy11_rev,continuous,1.05,0,0,0,0,0,cylinderT101,0,0,-1,0,0,-3.14,3.14,,,,,,,,
dummy16,-0.885891803803759,1.1832255489643,0.397075050265954,0,0,0,0.325160100660068,0.444477114199378,0.149002486341854,-0.192177926459087,0.586714874904887,0.0745014312998625,0.732704931911868,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy16.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy16.STL,,frame2-1,tabT101CS,tabT101_z,dummy16_rev,continuous,0,0,0,0,0,0,dummy11,0,0,-1,0,0,-3.14,3.14,,,,,,,,
tabT101,-0.885891803803761,1.1832255489643,0.397075050265953,0,0,0,0.325160100660068,0.444477114199378,0.149002486341855,-0.192177926459087,0.586714874904888,0.0745014312998626,0.732704931911868,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/tabT101.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/tabT101.STL,,frame2-1,tabT101CS,tabT101_z,tabDummyT101,continuous,0,0,0,0,0,0,dummy16,0,0,-1,0,0,-3.14,3.14,,,,,,,,
dummy2,1.1052875090424,-5.10490238969652E-09,-0.000741494208233662,0,0,0,0.00481853834378233,2.69042398361297E-05,-1.43548299369304E-12,5.23810229256751E-07,4.20879186652963E-05,4.85461505210508E-13,6.50216569346707E-05,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy2.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy2.STL,,tabT400-5,pistonT201CS,pistonT201_z,dummy2_rev,continuous,0.270420574501119,0.180266396919769,2.18057876976819,0,-1.1071487177431,0,yoke,0,0,-1,0,0,-3.14,3.14,,,,,,,,
dummy7,1.1052875090424,-5.10490238969652E-09,-0.000741494208233662,0,0,0,0.00481853834378233,2.69042398361298E-05,-1.43548299371647E-12,5.23810229256749E-07,4.20879186652963E-05,4.85461505347144E-13,6.50216569346707E-05,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy7.STL,1,0,0,1,0,0,0,0,0,0,package://luset_geometry_pkg/meshes/dummy7.STL,,tabT400-5,pistonT201CS,pistonT201_z,dummy7_rev,continuous,0,0,0,0,0,0,dummy2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
